order_id,order_date,customer_id,product_id,quantity,discount
O1001,2024-01-08,C001,P002,2,0.05
O1002,2024-01-11,C002,P001,3,0.00
O1003,2024-01-19,C004,P005,4,0.10
O1004,2024-02-03,C003,P004,1,0.00
O1005,2024-02-09,C005,P003,2,0.05
O1006,2024-02-15,C006,P006,1,0.08
O1007,2024-02-21,C007,P007,2,0.00
O1008,2024-03-02,C008,P001,5,0.12
O1009,2024-03-05,C009,P008,2,0.05
O1010,2024-03-14,C010,P004,1,0.00
O1011,2024-03-28,C001,P003,1,0.00
O1012,2024-04-03,C002,P005,6,0.10
O1013,2024-04-07,C003,P002,2,0.04
O1014,2024-04-16,C004,P006,1,0.00
O1015,2024-04-20,C005,P001,4,0.05
O1016,2024-05-01,C006,P004,2,0.07
O1017,2024-05-08,C007,P008,3,0.00
O1018,2024-05-19,C008,P007,2,0.03
O1019,2024-05-27,C009,P002,1,0.00
O1020,2024-06-04,C010,P003,2,0.06
O1021,2024-06-12,C001,P006,1,0.00
O1022,2024-06-18,C002,P008,2,0.04
O1023,2024-06-25,C003,P001,3,0.00
O1024,2024-07-02,C004,P004,2,0.05
O1025,2024-07-11,C005,P005,5,0.15
O1026,2024-07-17,C006,P002,2,0.02
O1027,2024-08-06,C007,P003,2,0.00
O1028,2024-08-14,C008,P006,1,0.09
O1029,2024-08-20,C009,P007,3,0.00
O1030,2024-09-05,C010,P001,4,0.05
O1031,2024-09-12,C001,P008,2,0.00
O1032,2024-09-18,C002,P004,1,0.00
O1033,2024-10-01,C003,P005,4,0.08
O1034,2024-10-10,C004,P002,2,0.03
O1035,2024-10-22,C005,P007,1,0.00
O1036,2024-11-04,C006,P003,3,0.05
O1037,2024-11-15,C007,P001,2,0.00
O1038,2024-11-21,C008,P008,1,0.00
O1039,2024-12-03,C009,P006,1,0.04
O1040,2024-12-16,C010,P004,2,0.06

